data,periodo,cliente_id,tipo_cardapio,prato,sobremesa,bebida,valor_total,forma_pagamento,tempo_preparo,tempo_atendimento,avaliacao,cancelado,ano,mes
2024-06-01 12:55:00,Dia,972,Self-service,Self-service,Nenhuma,Maracujá,34.0,Crédito,35,9,4,False,2024,6
2024-06-01 13:03:00,Dia,3572,Self-service,Self-service,Nenhuma,Acerola,34.0,Pix,33,9,5,False,2024,6
2024-06-01 14:04:00,Dia,853,Self-service,Self-service,Picolé / sorvete simples,Fanta Uva,36.49,Pix,40,5,5,False,2024,6
2024-06-01 12:51:00,Dia,16,Self-service,Self-service,Nenhuma,Acerola,34.0,Refeição,31,10,5,False,2024,6
2024-06-01 15:41:00,Dia,1957,Self-service,Self-service,Nenhuma,Laranja,34.0,Crédito,38,7,5,False,2024,6
2024-06-01 15:18:00,Dia,2393,Self-service,Self-service,Nenhuma,Pepsi,32.0,Crédito,32,6,5,False,2024,6
2024-06-01 15:26:00,Dia,351,Self-service,Self-service,Nenhuma,Água,30.0,Pix,35,6,5,False,2024,6
2024-06-01 14:49:00,Dia,1253,Self-service,Self-service,Nenhuma,Acerola,34.0,Crédito,37,9,5,False,2024,6
2024-06-01 11:04:00,Dia,3177,Self-service,Self-service,Nenhuma,Laranja,34.0,Dinheiro,34,5,5,False,2024,6
2024-06-01 15:33:00,Dia,3172,Self-service,Self-service,Nenhuma,Guaraná,38.0,Pix,36,7,4,False,2024,6
2024-06-01 13:31:00,Dia,5862,Self-service,Self-service,Nenhuma,Água,30.0,Refeição,38,7,5,False,2024,6
2024-06-01 11:56:00,Dia,3779,Self-service,Self-service,Nenhuma,Fanta Uva,32.0,Débito,35,9,5,True,2024,6
2024-06-01 12:42:00,Dia,1773,Self-service,Self-service,Mousse de maracujá,Fanta Laranja,37.99,Crédito,39,5,5,False,2024,6
2024-06-01 15:47:00,Dia,5183,Self-service,Self-service,Nenhuma,Guaraná Antarctica,32.0,Crédito,40,9,5,False,2024,6
